Date,T,Td,Precip,Humidity,Wind,PercentCloud,City
20110221,72.5,62.5,0,75.79166666666667,9.370833333333332,80.91666666666667,KHOU
20110222,69.0,62.5,0,79.20833333333333,6.729166666666667,75.875,KHOU
20110223,74.0,65.5,0,80.375,9.0375,82.70833333333333,KHOU
20110224,73.5,66.0,0,78.625,10.858333333333333,80.125,KHOU
20110225,65.0,51.0,0.01,58.75,5.624999999999999,10.583333333333334,KHOU
20110226,62.0,60.0,0,82.91666666666667,7.825,84.79166666666667,KHOU
20110227,75.0,66.5,0,76.41666666666667,14.254166666666668,86.41666666666667,KHOU
20110228,66.0,46.0,0,42.5,14.212500000000006,38.375,KHOU
20110301,61.5,37.5,0,46.833333333333336,6.008333333333334,4.708333333333333,KHOU
20110302,61.0,41.0,0,53.583333333333336,4.370833333333333,5.25,KHOU
20110303,61.5,53.5,0,78.66666666666667,5.483333333333333,44.458333333333336,KHOU
20110304,71.0,61.5,0,76.82608695652173,7.078260869565219,76.26086956521739,KHOU
20110305,57.0,51.0,0.13,70.21739130434783,11.969565217391304,57.65217391304348,KHOU
20110306,54.5,37.5,0,54.958333333333336,7.354166666666668,22.541666666666668,KHOU
20110307,56.0,52.5,0,73.66666666666667,8.933333333333334,76.29166666666667,KHOU
20110308,69.0,65.5,0.060000000000000005,86.0,10.662500000000003,94.0,KHOU
20110309,63.0,49.0,0,54.166666666666664,11.762500000000003,43.625,KHOU
20110310,57.5,27.5,0,34.25,6.483333333333333,2.0,KHOU
20110311,56.0,41.0,0,52.708333333333336,6.483333333333333,9.5,KHOU
20110312,67.0,55.5,0,70.79166666666667,8.3625,57.416666666666664,KHOU
20110313,69.0,60.0,0,75.20833333333333,8.325,80.45833333333333,KHOU
20110314,60.5,55.0,0,76.95833333333333,6.633333333333333,73.25,KHOU
20110315,58.5,45.0,0,58.541666666666664,6.158333333333332,12.166666666666666,KHOU
20110316,65.5,56.5,0,79.6086956521739,7.321739130434781,80.04347826086956,KHOU
20110317,74.0,63.0,0,75.95833333333333,9.841666666666665,62.291666666666664,KHOU
20110318,75.0,65.5,0,77.5,8.841666666666667,72.75,KHOU
20110319,72.5,62.0,0,75.79166666666667,7.3083333333333345,55.0,KHOU
20110320,70.5,61.0,0,71.625,9.891666666666667,47.916666666666664,KHOU
20110321,73.5,61.0,0,74.1304347826087,8.069565217391302,45.65217391304348,KHOU
20110322,75.0,62.0,0,69.79166666666667,14.583333333333334,66.66666666666667,KHOU
20110323,77.0,61.5,0,68.41666666666667,9.270833333333332,51.041666666666664,KHOU
20110324,72.5,55.0,0,63.0,8.508333333333335,53.458333333333336,KHOU
20110325,74.0,66.0,0,75.70833333333333,8.595833333333331,70.95833333333333,KHOU
